STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,prod_veg,Vegetable product,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,ES,Spain,2024,,45.30,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2013,,23.81,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2014,,14.61,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2015,,17.74,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2016,,20.02,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2017,,17.97,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2018,,18.59,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2019,,19.65,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2020,,19.24,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2021,,18.37,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2022,,20.51,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2023,,21.63,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FI,Finland,2024,,22.81,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FR,France,2013,,67.14,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FR,France,2014,,36.70,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FR,France,2015,,43.70,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,FR,France,2016,,39.50,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2013,,22.43,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2014,,15.54,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2015,,14.39,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2016,,16.53,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2017,,16.03,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2018,,20.15,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2019,,26.29,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2020,,20.29,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2021,,19.20,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2022,,31.91,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2023,,42.53,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HR,Croatia,2024,,36.79,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HU,Hungary,2013,,27.11,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HU,Hungary,2014,,19.26,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HU,Hungary,2015,,21.60,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HU,Hungary,2016,,22.94,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HU,Hungary,2017,,20.89,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HU,Hungary,2018,,22.84,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HU,Hungary,2019,,31.18,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HU,Hungary,2020,,23.32,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,HU,Hungary,2021,,25.57,,,,,
